ticker,name,market,locale,active,source_feed
I:BUKTEC,Cboe UK Technology,indices,us,True,CboeGlobalIndicesCGI
I:BUKTECN,Cboe UK Technology - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKTEL,Cboe UK Telecommunications Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKTELN,Cboe UK Telecommunications Sect,indices,us,True,CboeGlobalIndicesCGI
I:BUKUTL,Cboe UK Utilities Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKUTLN,Cboe UK Utilities Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BXD,Cboe DJIA BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXDE,DJIA Cboe BuyWrite V2 Index,indices,us,True,CboeGlobalIndicesMain
I:BXDEH,Cboe DJIA Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXEA,Cboe MSCI EAFE BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
I:BXEF,Cboe MSCI Emerging Markets BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
I:BXEMG,Cboe MSCI Emerging Markets IMI BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
I:BXESG,Cboe S&P 500 ESG BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXGBTCA,Cboe GBTC ATM BuyWrite Index,indices,us,True,CboeGlobalIndicesCGI
I:BXGBTCT,Cboe GBTC 20% OTM BuyWrite Index,indices,us,True,CboeGlobalIndicesCGI
I:BXHB,Cboe HYG BuyWrite Index,indices,us,True,CboeGlobalIndicesCGI
I:BXLB,Cboe LQD BuyWrite Index,indices,us,True,CboeGlobalIndicesCGI
I:BXLFH,Cboe S&P Financials Select Sector Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
